3	0.405	0.284	13.320	6.4	0.518	0.001
4	0.431	0.264	16.131	7.5	0.542	0.001
5	0.449	0.250	18.651	8.5	0.559	0.001
6	0.464	0.238	21.013	9.3	0.572	0.001
7	0.479	0.227	23.355	10.2	0.582	0.001
8	0.489	0.219	25.479	10.9	0.593	0.001
9	0.498	0.210	27.539	11.6	0.601	0.002
10	0.506	0.203	29.502	12.2	0.609	0.002
12	0.517	0.191	33.337	13.5	0.620	0.002
14	0.528	0.181	37.003	14.8	0.629	0.002
16	0.536	0.171	40.471	15.9	0.637	0.002
18	0.543	0.163	43.797	17.0	0.645	0.003
20	0.550	0.156	47.286	18.1	0.651	0.003
22	0.554	0.149	50.633	19.1	0.657	0.003
24	0.558	0.144	53.775	20.1	0.662	0.003
26	0.562	0.138	57.060	21.3	0.666	0.003
28	0.565	0.133	60.004	22.2	0.670	0.004
30	0.568	0.130	62.922	23.2	0.674	0.004
32	0.571	0.126	65.780	24.1	0.677	0.004
34	0.573	0.123	68.566	24.9	0.680	0.004
36	0.575	0.119	71.404	25.7	0.683	0.004
38	0.576	0.117	74.292	26.5	0.686	0.005
40	0.578	0.114	77.167	27.4	0.689	0.005
44	0.581	0.109	82.750	29.1	0.693	0.005
48	0.583	0.103	88.054	30.7	0.697	0.005
52	0.585	0.099	93.199	32.3	0.701	0.006
55	0.586	0.095	97.034	33.4	0.703	0.006
56	0.587	0.094	98.369	33.8	0.703	0.006
60	0.589	0.090	103.438	35.3	0.706	0.006
64	0.590	0.087	108.265	36.8	0.710	0.007
68	0.591	0.084	113.156	38.1	0.713	0.007
72	0.592	0.082	117.938	39.5	0.715	0.007
76	0.593	0.080	122.742	41.0	0.717	0.008
80	0.593	0.078	127.164	42.3	0.719	0.008
84	0.594	0.075	131.441	43.6	0.721	0.008
88	0.594	0.074	135.862	44.9	0.723	0.009
92	0.594	0.072	140.347	46.1	0.725	0.009
96	0.594	0.070	144.562	47.4	0.727	0.009
100	0.594	0.069	148.959	48.7	0.728	0.009
104	0.594	0.067	153.403	49.9	0.730	0.010
108	0.594	0.066	157.656	51.1	0.731	0.010
112	0.594	0.065	161.833	52.5	0.732	0.010
116	0.595	0.064	165.782	53.6	0.734	0.011
120	0.595	0.063	169.794	54.7	0.735	0.011
124	0.595	0.062	173.737	55.8	0.736	0.011
128	0.595	0.061	177.739	56.9	0.738	0.011
