3	0.533	0.291	17.882	8.0	0.587	0.001
4	0.560	0.252	21.304	9.3	0.608	0.002
5	0.578	0.227	24.386	10.4	0.620	0.002
6	0.593	0.207	27.206	11.4	0.632	0.002
7	0.603	0.190	29.910	12.4	0.642	0.003
8	0.612	0.177	32.440	13.4	0.649	0.003
9	0.618	0.165	34.901	14.2	0.656	0.003
10	0.625	0.156	37.303	15.0	0.662	0.003
12	0.636	0.140	41.879	16.6	0.672	0.004
14	0.646	0.129	46.201	18.0	0.678	0.004
16	0.653	0.120	50.389	19.4	0.685	0.005
18	0.659	0.113	54.398	20.7	0.692	0.005
20	0.663	0.107	58.241	21.9	0.697	0.005
22	0.667	0.102	62.004	23.2	0.701	0.006
24	0.670	0.098	65.619	24.3	0.706	0.006
26	0.673	0.095	69.164	25.5	0.709	0.007
28	0.675	0.092	72.720	26.6	0.713	0.007
30	0.677	0.089	76.102	27.6	0.716	0.007
32	0.678	0.086	79.600	28.7	0.719	0.008
34	0.680	0.084	83.061	29.9	0.721	0.008
36	0.681	0.082	86.511	31.0	0.723	0.009
38	0.681	0.081	89.910	32.1	0.725	0.009
40	0.682	0.080	93.198	33.2	0.727	0.009
44	0.682	0.078	99.721	35.2	0.731	0.010
48	0.682	0.077	106.040	37.2	0.734	0.011
50	0.681	0.077	109.088	38.1	0.736	0.011
52	0.681	0.076	112.237	39.1	0.738	0.012
55	0.681	0.075	116.844	40.5	0.740	0.012
56	0.680	0.075	118.378	41.0	0.741	0.012
60	0.679	0.075	124.463	42.9	0.744	0.013
64	0.678	0.074	130.432	44.7	0.746	0.014
68	0.677	0.074	136.391	46.6	0.749	0.014
70	0.677	0.073	139.398	47.5	0.750	0.015
72	0.676	0.073	142.305	48.3	0.751	0.015
76	0.674	0.072	148.257	50.2	0.753	0.016
80	0.672	0.072	153.971	52.0	0.754	0.017
84	0.671	0.072	159.789	53.7	0.756	0.017
88	0.670	0.071	165.480	55.5	0.758	0.018
90	0.669	0.071	168.300	56.3	0.758	0.018
92	0.668	0.071	171.139	57.2	0.759	0.019
96	0.666	0.071	176.664	58.9	0.760	0.019
100	0.665	0.070	182.290	60.5	0.762	0.020
104	0.663	0.070	187.773	62.2	0.763	0.021
108	0.662	0.069	193.380	63.8	0.765	0.021
110	0.662	0.069	196.146	64.7	0.765	0.022
112	0.661	0.069	198.913	65.6	0.766	0.022
116	0.659	0.069	204.388	67.2	0.767	0.023
120	0.657	0.068	209.814	68.9	0.768	0.023
124	0.655	0.068	215.423	70.5	0.769	0.024
128	0.653	0.068	220.734	72.2	0.770	0.025
