3	0.322	0.210	15.003	8.9	0.363	0.001
4	0.347	0.192	18.146	10.6	0.387	0.001
5	0.367	0.178	20.859	12.0	0.405	0.001
6	0.382	0.167	23.257	13.2	0.421	0.001
7	0.394	0.158	25.544	14.3	0.433	0.001
8	0.405	0.150	27.690	15.3	0.443	0.001
9	0.413	0.143	29.673	16.2	0.452	0.001
10	0.421	0.137	31.546	17.1	0.460	0.002
12	0.434	0.128	35.276	18.7	0.474	0.002
14	0.446	0.120	38.680	20.2	0.486	0.002
16	0.453	0.113	41.978	21.7	0.494	0.002
18	0.462	0.108	45.213	23.1	0.502	0.002
20	0.469	0.103	48.417	24.6	0.507	0.002
22	0.475	0.099	51.505	25.9	0.514	0.003
24	0.480	0.095	54.547	27.3	0.519	0.003
26	0.484	0.092	57.573	28.6	0.525	0.003
28	0.488	0.089	60.384	29.8	0.529	0.003
30	0.491	0.086	63.292	31.1	0.533	0.003
32	0.494	0.084	66.275	32.5	0.537	0.003
34	0.496	0.081	69.371	33.9	0.541	0.004
36	0.498	0.080	72.335	35.3	0.544	0.004
38	0.500	0.078	75.300	36.6	0.548	0.004
40	0.502	0.076	78.181	37.9	0.551	0.004
44	0.503	0.073	83.770	40.5	0.556	0.004
48	0.506	0.070	89.071	42.9	0.561	0.005
52	0.506	0.068	94.113	45.0	0.566	0.005
55	0.507	0.067	97.973	46.9	0.569	0.005
56	0.507	0.067	99.273	47.5	0.570	0.005
60	0.507	0.065	104.290	49.7	0.574	0.005
64	0.508	0.064	109.216	51.8	0.578	0.006
68	0.508	0.063	114.099	53.9	0.581	0.006
72	0.508	0.062	118.636	55.8	0.583	0.006
76	0.508	0.061	123.191	57.9	0.584	0.006
80	0.508	0.060	127.632	59.8	0.586	0.007
84	0.506	0.059	132.123	61.7	0.588	0.007
88	0.506	0.059	136.532	63.7	0.589	0.007
92	0.505	0.059	140.985	65.6	0.591	0.007
96	0.505	0.058	145.146	67.5	0.591	0.008
100	0.504	0.058	149.338	69.4	0.592	0.008
104	0.503	0.058	153.607	71.3	0.593	0.008
108	0.501	0.057	157.760	73.1	0.593	0.008
112	0.501	0.057	161.772	74.9	0.594	0.009
116	0.499	0.057	165.705	76.6	0.595	0.009
120	0.499	0.057	169.903	78.6	0.595	0.009
124	0.498	0.057	174.122	80.6	0.596	0.009
128	0.496	0.056	178.262	82.4	0.596	0.010
