3	0.434	0.238	17.865	10.0	0.430	0.002
4	0.463	0.214	21.420	11.7	0.458	0.003
5	0.484	0.196	24.617	13.2	0.474	0.003
6	0.500	0.182	27.590	14.6	0.488	0.004
7	0.513	0.172	30.462	15.9	0.500	0.004
8	0.524	0.162	32.992	17.1	0.510	0.005
9	0.533	0.155	35.410	18.2	0.518	0.005
10	0.542	0.148	37.862	19.3	0.524	0.005
12	0.555	0.137	42.373	21.4	0.537	0.006
14	0.565	0.129	46.598	23.3	0.546	0.007
16	0.574	0.122	50.662	25.1	0.555	0.008
18	0.583	0.116	54.506	26.7	0.564	0.008
20	0.588	0.111	58.309	28.3	0.571	0.009
22	0.593	0.107	62.151	30.0	0.578	0.010
24	0.597	0.103	66.027	31.7	0.584	0.010
26	0.601	0.100	69.911	33.5	0.588	0.011
28	0.603	0.097	73.925	35.3	0.593	0.012
30	0.606	0.094	77.759	37.2	0.596	0.012
32	0.609	0.092	81.417	38.8	0.600	0.013
34	0.610	0.090	84.849	40.4	0.603	0.013
36	0.610	0.089	88.321	42.0	0.606	0.014
38	0.610	0.088	91.672	43.5	0.610	0.015
40	0.610	0.086	94.850	44.9	0.613	0.015
44	0.610	0.085	101.385	47.7	0.618	0.016
48	0.609	0.083	107.798	50.5	0.623	0.018
50	0.608	0.082	110.871	51.8	0.625	0.018
52	0.607	0.082	113.998	53.1	0.627	0.019
55	0.606	0.081	118.655	55.0	0.630	0.020
56	0.605	0.081	120.194	55.6	0.631	0.020
60	0.602	0.079	126.061	58.1	0.635	0.021
64	0.600	0.078	132.241	60.9	0.639	0.022
68	0.596	0.077	138.690	63.9	0.642	0.023
70	0.594	0.077	141.897	65.3	0.643	0.024
72	0.593	0.076	145.119	66.8	0.645	0.025
76	0.588	0.074	151.604	69.7	0.648	0.026
80	0.584	0.072	157.901	72.7	0.650	0.027
84	0.580	0.071	164.147	75.6	0.652	0.028
88	0.577	0.071	170.205	78.3	0.654	0.029
90	0.575	0.071	173.211	79.6	0.655	0.030
92	0.572	0.071	176.158	80.9	0.656	0.030
96	0.569	0.070	181.716	83.4	0.658	0.032
100	0.567	0.069	187.294	85.8	0.659	0.033
104	0.564	0.067	193.030	88.2	0.661	0.034
108	0.562	0.066	198.568	90.7	0.663	0.035
110	0.560	0.066	201.396	92.0	0.664	0.035
112	0.559	0.066	204.275	93.3	0.665	0.036
116	0.556	0.065	209.913	95.8	0.666	0.037
120	0.554	0.065	215.349	98.2	0.667	0.038
124	0.553	0.064	220.880	100.6	0.669	0.039
128	0.550	0.063	226.628	103.2	0.670	0.040
