3	0.270	0.160	17.063	9.9	0.366	0.001
4	0.289	0.144	21.118	12.0	0.389	0.001
5	0.306	0.133	24.934	13.9	0.408	0.001
6	0.319	0.123	28.569	15.7	0.421	0.001
7	0.331	0.116	32.153	17.4	0.434	0.002
8	0.340	0.109	35.741	19.2	0.443	0.002
9	0.348	0.104	39.273	20.9	0.452	0.002
10	0.354	0.098	42.682	22.6	0.458	0.002
12	0.365	0.090	49.469	25.9	0.470	0.002
14	0.375	0.084	56.030	29.1	0.479	0.003
16	0.383	0.078	62.458	32.2	0.487	0.003
18	0.388	0.074	68.704	35.2	0.492	0.003
20	0.393	0.071	75.002	38.1	0.499	0.004
22	0.397	0.068	81.155	40.9	0.504	0.004
24	0.400	0.065	87.137	43.6	0.509	0.004
26	0.403	0.063	92.858	46.2	0.513	0.005
28	0.405	0.062	98.503	48.8	0.516	0.005
30	0.407	0.060	104.185	51.4	0.519	0.005
32	0.409	0.059	109.691	54.0	0.522	0.005
34	0.410	0.058	115.286	56.6	0.525	0.006
36	0.410	0.057	120.697	59.1	0.527	0.006
38	0.410	0.056	125.969	61.4	0.529	0.006
40	0.411	0.055	131.163	63.8	0.532	0.007
44	0.410	0.054	141.575	68.6	0.535	0.007
48	0.411	0.053	151.804	73.2	0.539	0.008
52	0.409	0.052	161.854	77.7	0.542	0.008
55	0.407	0.051	169.426	81.1	0.545	0.009
56	0.407	0.051	171.923	82.2	0.546	0.009
60	0.406	0.050	181.575	86.5	0.549	0.009
64	0.403	0.050	191.118	90.9	0.551	0.010
68	0.402	0.049	200.659	95.2	0.554	0.010
72	0.401	0.049	210.015	99.3	0.556	0.011
76	0.399	0.048	219.565	103.6	0.559	0.011
80	0.398	0.048	229.010	107.8	0.560	0.012
84	0.397	0.048	238.209	112.0	0.562	0.012
88	0.395	0.047	247.115	115.8	0.564	0.013
92	0.393	0.047	256.067	119.8	0.565	0.013
96	0.392	0.047	265.003	123.8	0.567	0.014
100	0.390	0.047	274.027	127.9	0.568	0.014
104	0.390	0.046	282.942	131.8	0.569	0.015
108	0.388	0.046	291.938	135.7	0.571	0.015
112	0.386	0.046	300.912	139.8	0.572	0.016
116	0.384	0.046	309.739	143.7	0.573	0.016
120	0.382	0.046	318.713	147.5	0.575	0.017
124	0.380	0.045	327.512	151.3	0.576	0.017
128	0.378	0.045	336.297	155.1	0.577	0.018
