3	0.384	0.196	21.105	11.0	0.456	0.003
4	0.406	0.172	26.000	13.2	0.480	0.004
5	0.425	0.155	30.879	15.4	0.497	0.004
6	0.440	0.141	35.392	17.4	0.511	0.005
7	0.454	0.132	39.734	19.4	0.522	0.006
8	0.465	0.124	44.159	21.3	0.530	0.006
9	0.473	0.117	48.456	23.1	0.539	0.007
10	0.481	0.111	52.674	25.0	0.546	0.008
12	0.494	0.103	60.731	28.4	0.559	0.009
14	0.504	0.097	68.774	31.8	0.568	0.010
16	0.511	0.091	76.455	34.9	0.577	0.011
18	0.517	0.087	83.966	37.8	0.585	0.013
20	0.520	0.083	91.152	40.8	0.590	0.014
22	0.524	0.080	98.486	43.7	0.596	0.015
24	0.526	0.078	105.414	46.6	0.601	0.016
26	0.527	0.076	112.460	49.4	0.606	0.017
28	0.528	0.075	119.332	52.3	0.609	0.019
30	0.527	0.075	126.278	55.1	0.613	0.020
32	0.526	0.074	132.873	57.7	0.616	0.021
34	0.525	0.074	139.662	60.4	0.619	0.022
36	0.524	0.073	146.106	62.9	0.622	0.023
38	0.523	0.073	152.112	65.2	0.625	0.024
40	0.521	0.072	158.171	67.6	0.627	0.025
44	0.520	0.071	169.822	72.2	0.632	0.027
48	0.518	0.069	181.123	76.4	0.637	0.029
50	0.516	0.068	186.624	78.4	0.639	0.030
52	0.515	0.068	192.128	80.6	0.640	0.031
55	0.515	0.068	200.224	83.7	0.643	0.033
56	0.514	0.067	202.936	84.8	0.643	0.033
60	0.512	0.066	213.734	89.0	0.646	0.035
64	0.510	0.065	224.163	93.1	0.649	0.037
68	0.507	0.064	234.855	97.2	0.651	0.039
70	0.507	0.063	239.941	99.2	0.653	0.040
72	0.507	0.062	244.789	101.2	0.654	0.041
76	0.504	0.061	254.189	104.9	0.656	0.043
80	0.502	0.061	263.631	108.6	0.658	0.044
84	0.502	0.060	273.004	112.2	0.660	0.046
88	0.500	0.060	282.365	115.8	0.662	0.048
90	0.499	0.059	286.900	117.6	0.662	0.049
92	0.498	0.059	291.228	119.3	0.663	0.050
96	0.496	0.059	300.260	122.9	0.665	0.051
100	0.494	0.059	308.983	126.3	0.667	0.053
104	0.491	0.058	317.480	129.6	0.668	0.055
108	0.490	0.057	326.036	133.1	0.670	0.056
110	0.489	0.057	330.237	134.7	0.671	0.057
112	0.488	0.057	334.458	136.4	0.671	0.058
116	0.486	0.056	342.587	139.8	0.672	0.059
120	0.484	0.056	350.764	143.2	0.674	0.061
124	0.482	0.056	359.147	146.4	0.675	0.063
128	0.481	0.055	367.337	149.8	0.676	0.064
