3	0.336	0.212	16.867	9.1	0.389	0.001
4	0.353	0.190	20.091	10.7	0.407	0.001
5	0.367	0.174	23.181	12.1	0.427	0.002
6	0.377	0.164	25.934	13.4	0.441	0.002
7	0.387	0.155	28.689	14.7	0.453	0.002
8	0.398	0.148	31.424	15.9	0.464	0.002
9	0.406	0.143	34.002	17.0	0.472	0.002
10	0.412	0.137	36.672	18.1	0.480	0.002
12	0.424	0.127	41.564	20.2	0.492	0.003
14	0.433	0.119	46.373	22.1	0.501	0.003
16	0.441	0.114	50.746	23.8	0.508	0.004
18	0.449	0.109	55.124	25.6	0.514	0.004
20	0.455	0.105	59.221	27.1	0.521	0.004
22	0.459	0.102	63.259	28.7	0.526	0.004
24	0.461	0.099	67.116	30.3	0.530	0.005
26	0.463	0.096	70.768	31.7	0.533	0.005
28	0.466	0.095	74.250	33.0	0.536	0.005
30	0.469	0.093	77.571	34.2	0.539	0.005
32	0.472	0.091	80.962	35.5	0.543	0.006
34	0.475	0.089	84.451	36.7	0.548	0.006
36	0.477	0.088	88.032	38.1	0.551	0.006
38	0.478	0.086	91.494	39.5	0.553	0.007
40	0.478	0.085	94.748	40.7	0.556	0.007
44	0.481	0.083	101.466	43.1	0.560	0.007
48	0.485	0.081	107.707	45.4	0.565	0.008
52	0.485	0.079	113.853	47.7	0.570	0.008
55	0.486	0.078	118.627	49.4	0.573	0.009
56	0.487	0.078	120.136	50.0	0.574	0.009
60	0.488	0.077	126.128	52.4	0.576	0.009
64	0.490	0.075	132.125	54.6	0.580	0.010
68	0.490	0.074	137.890	56.7	0.584	0.010
72	0.491	0.073	144.006	58.9	0.587	0.010
76	0.492	0.072	149.829	60.9	0.590	0.011
80	0.493	0.071	155.830	63.1	0.593	0.011
84	0.495	0.071	161.395	65.0	0.597	0.012
88	0.495	0.070	166.955	66.8	0.599	0.012
92	0.495	0.070	172.500	68.8	0.601	0.013
96	0.496	0.069	177.770	70.6	0.602	0.013
100	0.496	0.069	182.967	72.4	0.604	0.013
104	0.495	0.068	188.054	74.2	0.605	0.014
108	0.495	0.068	193.041	76.0	0.607	0.014
112	0.495	0.068	198.169	77.9	0.608	0.015
116	0.496	0.067	203.191	79.7	0.610	0.015
120	0.496	0.067	208.233	81.5	0.611	0.015
124	0.497	0.067	213.183	83.1	0.612	0.016
128	0.496	0.067	218.022	84.7	0.614	0.016
