3	0.490	0.243	23.076	12.0	0.495	0.002
4	0.516	0.211	28.212	14.6	0.513	0.002
5	0.534	0.193	32.746	16.8	0.528	0.002
6	0.548	0.174	37.081	18.7	0.548	0.003
7	0.560	0.160	41.475	20.6	0.558	0.003
8	0.570	0.148	45.810	22.6	0.566	0.003
9	0.579	0.141	50.006	24.5	0.572	0.004
10	0.585	0.134	53.582	26.0	0.579	0.004
12	0.595	0.125	60.686	28.7	0.592	0.005
14	0.602	0.119	67.183	31.3	0.598	0.005
16	0.608	0.114	73.537	33.9	0.606	0.006
18	0.612	0.111	79.223	36.1	0.613	0.006
20	0.615	0.109	85.205	38.3	0.620	0.007
22	0.616	0.106	90.965	40.4	0.626	0.007
24	0.619	0.103	96.281	42.6	0.631	0.007
26	0.618	0.101	101.527	44.5	0.636	0.008
28	0.616	0.099	106.202	46.2	0.640	0.008
30	0.614	0.099	110.867	47.9	0.643	0.009
32	0.614	0.098	115.423	49.5	0.645	0.009
34	0.613	0.097	120.007	51.0	0.650	0.010
36	0.613	0.095	124.468	52.4	0.654	0.010
38	0.612	0.093	129.115	54.2	0.657	0.010
40	0.611	0.092	133.702	55.9	0.659	0.011
44	0.609	0.090	142.566	59.0	0.663	0.011
48	0.607	0.090	150.849	62.1	0.667	0.012
52	0.607	0.089	159.440	65.0	0.670	0.013
55	0.606	0.089	165.900	67.3	0.672	0.013
56	0.605	0.089	167.961	68.1	0.673	0.014
60	0.603	0.088	176.264	70.8	0.677	0.014
64	0.602	0.087	184.350	73.9	0.679	0.015
68	0.599	0.087	192.274	76.6	0.681	0.016
72	0.598	0.083	199.999	79.2	0.685	0.017
76	0.597	0.080	207.700	81.8	0.688	0.017
80	0.596	0.079	215.507	84.7	0.690	0.018
84	0.594	0.078	223.118	87.5	0.692	0.019
88	0.593	0.078	230.371	90.4	0.692	0.019
92	0.590	0.077	237.391	93.1	0.694	0.020
96	0.589	0.076	244.342	95.6	0.695	0.021
100	0.587	0.076	251.726	98.0	0.697	0.021
104	0.585	0.075	258.990	100.7	0.698	0.022
108	0.583	0.074	265.786	103.0	0.700	0.023
112	0.583	0.073	272.663	105.4	0.701	0.023
116	0.582	0.072	278.997	107.6	0.703	0.024
120	0.581	0.072	285.732	110.1	0.704	0.025
124	0.579	0.072	292.296	112.5	0.705	0.025
128	0.576	0.071	299.369	114.8	0.706	0.026
