3	0.276	0.166	16.605	9.5	0.370	0.001
4	0.295	0.149	20.437	11.5	0.393	0.001
5	0.313	0.138	24.173	13.4	0.412	0.001
6	0.327	0.128	27.806	15.2	0.428	0.001
7	0.340	0.120	31.432	16.9	0.443	0.001
8	0.349	0.113	34.815	18.6	0.453	0.002
9	0.358	0.107	38.123	20.1	0.462	0.002
10	0.366	0.103	41.470	21.7	0.469	0.002
12	0.378	0.094	47.946	24.7	0.485	0.002
14	0.390	0.087	54.198	27.6	0.495	0.003
16	0.399	0.082	60.439	30.4	0.504	0.003
18	0.406	0.078	66.302	33.0	0.511	0.003
20	0.412	0.075	72.112	35.5	0.517	0.004
22	0.417	0.072	77.724	37.9	0.524	0.004
24	0.421	0.069	83.291	40.3	0.529	0.004
26	0.426	0.068	88.726	42.7	0.533	0.004
28	0.429	0.066	93.940	44.9	0.537	0.005
30	0.432	0.065	98.913	47.1	0.540	0.005
32	0.435	0.063	103.910	49.3	0.543	0.005
34	0.436	0.062	108.849	51.4	0.546	0.006
36	0.437	0.061	113.736	53.5	0.548	0.006
38	0.438	0.060	118.602	55.7	0.550	0.006
40	0.439	0.060	123.375	57.7	0.553	0.006
44	0.439	0.059	132.614	61.7	0.557	0.007
48	0.440	0.058	141.604	65.5	0.561	0.007
52	0.440	0.057	150.403	69.1	0.565	0.008
55	0.440	0.056	156.922	71.7	0.569	0.008
56	0.440	0.056	159.061	72.7	0.569	0.008
60	0.439	0.055	167.454	76.1	0.572	0.009
64	0.439	0.055	175.657	79.5	0.575	0.009
68	0.438	0.055	183.867	82.8	0.578	0.010
72	0.438	0.054	191.802	86.1	0.580	0.010
76	0.437	0.054	199.737	89.4	0.583	0.010
80	0.437	0.053	207.537	92.7	0.585	0.011
84	0.436	0.053	215.238	95.7	0.588	0.011
88	0.434	0.053	222.735	98.8	0.590	0.012
92	0.434	0.052	230.157	101.9	0.592	0.012
96	0.434	0.052	237.433	104.7	0.595	0.012
100	0.432	0.051	244.534	107.6	0.596	0.013
104	0.432	0.051	251.700	110.5	0.598	0.013
108	0.431	0.051	258.818	113.2	0.600	0.014
112	0.430	0.050	265.618	116.0	0.601	0.014
116	0.428	0.050	272.517	118.7	0.603	0.014
120	0.427	0.050	279.286	121.4	0.604	0.015
124	0.427	0.050	286.063	124.2	0.605	0.015
128	0.426	0.050	292.497	126.9	0.607	0.016
